id,customer_id,status,order_date,total
1,663,PENDING,2023-11-24 02:24:00+0000,4935.68
2,982,SHIPPED,2024-03-31 09:26:00+0000,2201.75
3,295,PAID,2024-02-19 03:36:00+0000,1527.40
4,429,CANCELLED,2024-01-22 16:27:00+0000,1163.68
5,930,SHIPPED,2023-05-28 22:32:00+0000,6292.62
6,75,PAID,2024-01-26 13:55:00+0000,1219.56
7,483,PAID,2024-05-09 13:12:00+0000,3548.95
8,267,PENDING,2023-10-13 08:40:00+0000,2789.46
9,321,PAID,2023-07-09 08:26:00+0000,3292.80
10,324,PAID,2024-03-30 06:35:00+0000,2449.62
11,723,CANCELLED,2024-02-03 14:43:00+0000,346.94
12,366,PAID,2024-11-04 07:52:00+0000,2656.95
13,855,PENDING,2024-02-01 15:23:00+0000,2068.53
14,253,SHIPPED,2023-10-30 09:10:00+0000,40.50
15,698,CANCELLED,2024-01-01 21:10:00+0000,1730.15
16,465,CANCELLED,2024-05-18 07:38:00+0000,46.90
17,333,PENDING,2024-10-26 02:25:00+0000,1126.08
18,561,CANCELLED,2024-02-03 11:19:00+0000,1176.43
19,799,SHIPPED,2024-08-04 00:37:00+0000,2332.84
20,926,CANCELLED,2023-05-05 07:50:00+0000,782.90
21,457,CANCELLED,2023-12-12 10:34:00+0000,2256.23
22,646,CANCELLED,2024-03-24 23:22:00+0000,791.13
23,693,CANCELLED,2023-09-13 01:17:00+0000,448.27
24,448,PENDING,2023-11-01 11:28:00+0000,2548.04
25,565,PENDING,2023-05-24 14:11:00+0000,3926.05
26,117,SHIPPED,2024-08-15 23:47:00+0000,912.72
27,322,CANCELLED,2024-01-25 19:55:00+0000,1960.12
28,548,SHIPPED,2023-02-03 11:56:00+0000,4969.11
29,708,PENDING,2024-01-18 00:58:00+0000,703.66
30,196,PAID,2023-10-09 03:16:00+0000,1868.42
31,447,PAID,2024-10-12 18:17:00+0000,126.48
32,486,CANCELLED,2024-01-14 17:06:00+0000,163.46
33,987,PAID,2023-10-29 13:06:00+0000,669.18
34,302,PENDING,2024-08-10 06:41:00+0000,253.35
35,646,PAID,2024-03-28 10:23:00+0000,4689.04
36,732,PENDING,2023-10-14 09:33:00+0000,741.45
37,275,CANCELLED,2023-08-28 03:32:00+0000,1040.82
38,715,CANCELLED,2024-02-12 11:30:00+0000,1445.65
39,238,SHIPPED,2023-10-28 04:17:00+0000,3971.18
40,708,SHIPPED,2023-08-13 13:25:00+0000,2401.17
41,241,SHIPPED,2023-12-13 04:49:00+0000,1235.82
42,366,SHIPPED,2024-04-11 21:16:00+0000,2523.96
43,804,PENDING,2024-07-29 20:57:00+0000,2266.94
44,520,PAID,2023-11-19 20:56:00+0000,629.13
45,746,PENDING,2023-08-15 15:17:00+0000,4008.25
46,252,SHIPPED,2023-09-18 07:25:00+0000,3276.11
47,645,PAID,2023-11-24 06:09:00+0000,4567.01
48,789,SHIPPED,2023-11-04 18:36:00+0000,1495.23
49,412,PAID,2023-10-09 10:09:00+0000,251.08
50,925,CANCELLED,2024-04-08 09:58:00+0000,2495.13
51,457,SHIPPED,2023-09-10 12:53:00+0000,2444.14
52,219,PENDING,2023-03-25 02:52:00+0000,2978.03
53,750,SHIPPED,2023-10-09 14:45:00+0000,1927.34
54,587,SHIPPED,2023-02-15 08:31:00+0000,1311.68
55,683,SHIPPED,2024-05-15 16:32:00+0000,509.81
56,529,PENDING,2023-11-18 21:01:00+0000,962.08
57,64,CANCELLED,2023-09-04 21:46:00+0000,4947.91
58,451,CANCELLED,2024-07-20 04:29:00+0000,2423.68
59,133,CANCELLED,2024-09-24 23:41:00+0000,677.08
60,34,PENDING,2024-02-06 05:15:00+0000,1643.57
61,536,PAID,2024-04-10 04:47:00+0000,2501.11
62,146,SHIPPED,2024-01-10 21:18:00+0000,813.78
63,70,PAID,2023-09-15 01:02:00+0000,3581.25
64,517,PENDING,2023-11-11 06:52:00+0000,2830.71
65,982,SHIPPED,2024-05-08 13:06:00+0000,367.53
66,575,PENDING,2023-04-09 03:07:00+0000,2149.28
67,282,PAID,2024-04-29 22:44:00+0000,4969.23
68,425,SHIPPED,2023-03-26 02:05:00+0000,1694.91
69,148,CANCELLED,2023-05-27 08:30:00+0000,1003.98
70,695,SHIPPED,2023-04-23 15:31:00+0000,2990.35
71,265,PAID,2023-09-21 05:39:00+0000,486.10
72,505,PENDING,2024-08-15 01:59:00+0000,4507.44
73,418,CANCELLED,2024-05-30 09:31:00+0000,3030.58
74,86,CANCELLED,2024-03-15 14:06:00+0000,1516.18
75,985,SHIPPED,2023-12-25 17:32:00+0000,335.52
76,669,SHIPPED,2023-12-29 01:26:00+0000,93.51
77,860,PAID,2023-07-31 03:33:00+0000,1629.49
78,757,CANCELLED,2024-03-12 10:40:00+0000,69.38
79,716,SHIPPED,2023-09-07 23:24:00+0000,5992.92
80,350,CANCELLED,2024-03-31 12:05:00+0000,2989.21
81,552,CANCELLED,2023-10-07 00:07:00+0000,287.32
82,689,CANCELLED,2023-08-28 11:19:00+0000,1819.02
83,10,CANCELLED,2024-02-27 09:41:00+0000,1912.08
84,991,SHIPPED,2024-04-12 03:05:00+0000,2293.98
85,583,PAID,2024-04-09 08:31:00+0000,779.02
86,764,SHIPPED,2023-08-04 17:51:00+0000,1877.39
87,698,SHIPPED,2024-08-12 23:12:00+0000,124.04
88,443,CANCELLED,2024-03-31 17:42:00+0000,1340.00
89,371,SHIPPED,2024-09-20 19:05:00+0000,2691.48
90,6,PAID,2023-11-09 21:57:00+0000,2350.20
91,202,SHIPPED,2023-05-12 03:16:00+0000,728.63
92,861,SHIPPED,2023-09-26 21:00:00+0000,833.94
93,853,SHIPPED,2024-01-20 10:45:00+0000,2133.74
94,912,SHIPPED,2023-04-07 16:51:00+0000,187.22
95,626,SHIPPED,2023-12-11 10:51:00+0000,132.83
96,871,PENDING,2023-11-06 22:18:00+0000,217.48
97,465,PENDING,2024-07-16 03:12:00+0000,2473.29
98,610,CANCELLED,2023-05-02 00:58:00+0000,1549.20
99,493,SHIPPED,2024-07-24 00:27:00+0000,712.20
100,599,SHIPPED,2024-03-20 23:50:00+0000,2387.98
101,618,CANCELLED,2023-12-07 06:31:00+0000,730.34
102,353,CANCELLED,2023-09-28 09:36:00+0000,2142.34
103,615,PENDING,2023-08-28 06:07:00+0000,1017.44
104,655,SHIPPED,2023-09-29 03:38:00+0000,1078.08
105,827,PAID,2024-06-02 16:57:00+0000,1851.72
106,298,SHIPPED,2024-08-29 19:21:00+0000,3103.23
107,868,PENDING,2024-09-21 15:26:00+0000,1255.43
108,22,SHIPPED,2023-12-27 23:40:00+0000,62.22
109,468,PAID,2024-03-02 00:05:00+0000,1112.66
110,814,PAID,2023-12-10 02:15:00+0000,2744.65
111,55,CANCELLED,2023-09-28 06:52:00+0000,3668.11
112,184,CANCELLED,2024-04-21 16:08:00+0000,2403.74
113,884,SHIPPED,2024-04-17 07:44:00+0000,1363.36
114,261,PAID,2024-08-30 15:33:00+0000,2294.54
115,598,CANCELLED,2023-09-10 08:36:00+0000,3608.47
116,26,SHIPPED,2023-10-04 22:33:00+0000,1267.37
117,863,PAID,2024-03-23 10:11:00+0000,2678.14
118,692,SHIPPED,2024-06-04 13:02:00+0000,1759.87
119,843,PAID,2023-08-11 03:01:00+0000,1383.90
120,486,CANCELLED,2023-10-10 09:58:00+0000,4951.38
121,461,SHIPPED,2024-06-27 16:23:00+0000,2423.62
122,348,SHIPPED,2024-01-20 08:08:00+0000,963.60
123,582,SHIPPED,2024-04-19 22:27:00+0000,2506.54
124,584,PENDING,2024-01-21 21:08:00+0000,710.56
125,192,PENDING,2023-08-26 07:13:00+0000,1532.68
126,176,PAID,2023-06-24 09:36:00+0000,3147.81
127,134,PENDING,2023-11-04 06:46:00+0000,3102.70
128,147,PENDING,2024-08-17 08:57:00+0000,2157.25
129,295,CANCELLED,2024-01-30 02:24:00+0000,3047.04
130,394,CANCELLED,2024-02-22 06:03:00+0000,3702.11
131,781,PAID,2024-06-12 22:43:00+0000,3199.21
132,259,PENDING,2023-08-31 11:34:00+0000,181.90
133,655,PENDING,2024-01-28 16:59:00+0000,1185.00
134,727,SHIPPED,2023-03-17 15:50:00+0000,4389.60
135,862,SHIPPED,2024-02-12 10:02:00+0000,958.40
136,128,CANCELLED,2024-01-15 03:40:00+0000,2136.51
137,367,CANCELLED,2023-09-07 23:23:00+0000,811.44
138,714,SHIPPED,2023-10-08 19:26:00+0000,2569.46
139,931,PENDING,2023-12-07 10:46:00+0000,1699.48
140,15,PAID,2024-01-02 16:02:00+0000,268.11
141,742,PENDING,2023-08-18 12:06:00+0000,2521.70
142,238,CANCELLED,2023-05-31 00:24:00+0000,1928.10
143,218,PENDING,2023-11-29 03:57:00+0000,505.77
144,69,SHIPPED,2023-08-22 23:04:00+0000,1848.18
145,647,PENDING,2024-07-13 06:27:00+0000,1510.64
146,344,PAID,2023-10-30 19:00:00+0000,3300.91
147,756,PENDING,2024-01-16 21:42:00+0000,2773.49
148,244,SHIPPED,2024-01-17 18:00:00+0000,2121.20
149,769,CANCELLED,2023-07-23 07:14:00+0000,1351.27
150,534,PAID,2024-05-13 18:07:00+0000,1943.89
151,94,CANCELLED,2023-05-05 05:44:00+0000,3327.08
152,181,SHIPPED,2023-09-12 14:22:00+0000,1996.62
153,408,CANCELLED,2023-08-21 04:37:00+0000,3702.71
154,875,CANCELLED,2023-11-27 08:19:00+0000,5204.48
155,576,PENDING,2024-03-13 04:30:00+0000,1542.42
156,883,CANCELLED,2024-07-09 08:17:00+0000,5599.32
157,907,PENDING,2023-09-10 21:59:00+0000,1331.71
158,667,PENDING,2024-05-02 07:22:00+0000,1054.83
159,715,CANCELLED,2023-09-17 19:43:00+0000,2632.11
160,724,PENDING,2023-11-26 11:04:00+0000,3479.33
161,652,PENDING,2024-04-16 23:45:00+0000,2291.49
162,173,CANCELLED,2023-12-09 10:22:00+0000,1315.96
163,671,PAID,2023-10-27 15:48:00+0000,869.92
164,499,PAID,2024-01-02 18:25:00+0000,571.56
165,206,PAID,2023-07-11 14:50:00+0000,1530.11
166,82,PENDING,2024-03-08 17:30:00+0000,3129.05
167,10,PENDING,2023-12-07 18:05:00+0000,228.48
168,217,SHIPPED,2024-01-27 15:49:00+0000,3409.82
169,323,PAID,2024-01-15 07:23:00+0000,3224.07
170,27,PENDING,2023-04-19 19:42:00+0000,2789.98
171,654,PENDING,2024-05-23 05:08:00+0000,1345.22
172,357,PAID,2024-07-17 16:14:00+0000,108.51
173,730,CANCELLED,2024-03-24 21:46:00+0000,2571.64
174,679,CANCELLED,2024-09-27 12:44:00+0000,691.61
175,733,PAID,2023-09-28 00:48:00+0000,3169.86
176,945,CANCELLED,2024-03-27 20:16:00+0000,2780.72
177,828,PAID,2023-10-04 21:11:00+0000,479.61
178,763,PAID,2023-06-20 06:44:00+0000,1998.15
179,868,PENDING,2024-06-28 21:30:00+0000,1295.49
180,552,PAID,2024-04-17 12:45:00+0000,2206.56
181,616,PENDING,2024-04-07 17:56:00+0000,320.37
182,281,SHIPPED,2023-10-29 22:15:00+0000,1410.84
183,157,CANCELLED,2024-02-04 04:29:00+0000,1455.80
184,307,PAID,2023-06-23 10:03:00+0000,4891.98
185,718,PENDING,2023-10-15 22:22:00+0000,708.75
186,871,SHIPPED,2023-09-28 00:13:00+0000,2351.92
187,919,PAID,2024-01-29 03:49:00+0000,868.47
188,386,PAID,2023-12-09 18:39:00+0000,951.21
189,968,SHIPPED,2023-10-09 04:08:00+0000,2592.14
190,705,PENDING,2023-11-11 10:15:00+0000,1757.11
191,85,SHIPPED,2023-05-08 18:06:00+0000,3976.09
192,586,CANCELLED,2023-04-04 01:07:00+0000,2522.93
